state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
India,NFHS-6,2023-24,Urban,Population and Household Profile,Population below age 5 years (%),,6.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Population below age 5 years (%),,8.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Population below age 5 years (%),,8.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),22.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),27.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),25.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Population age 60 years and above (%),,12.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Population age 60 years and above (%),,13.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Population age 60 years and above (%),,12.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),99.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),97.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),98.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),99.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),95.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),96.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),96.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),93.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),94.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),HH member covered by health insurance/scheme (%),56.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),HH member covered by health insurance/scheme (%),62.0,,NFHS-6 PDF
